id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,Comp,Group,Gls_p90,Ast_p90,npxG_p90,Sh_p90,xA_p90,KP_p90,xGChain_p90,xGBuildup_p90,npxG_per_Sh,Cluster
5133,Aarón Martín,33,2167,1,1.317988371476531,5,6.568098125047982,11,62,2,0,D M S,Genoa,1,0.5566895511001348,6.554186085239053,3.749794667586684,Serie_A,midfield,0.0415320719889247,0.2076603599446239,0.023120470511773,0.4568527918781725,0.2727867241598146,2.5749884633133364,0.2722089283209574,0.1557367420778964,0.0506081410091031,3
6125,Stanislav Lobotka,32,2442,1,0.4109657760709524,1,1.0618614703416824,8,22,3,0,M S,Napoli,1,0.4109657760709524,9.941714700311422,8.96990124695003,Serie_A,midfield,0.0368550368550368,0.0368550368550368,0.0151461588232537,0.2948402948402948,0.0391349436243863,0.8108108108108109,0.3664022616822391,0.3305860410423844,0.051370722008869,1
6360,Antoine Bernede,32,2349,1,1.0209336997941136,2,1.9406338185071943,21,29,2,0,M S,Verona,1,1.0209336997941136,5.913933668285608,3.547188401222229,Serie_A,midfield,0.0383141762452107,0.0766283524904214,0.0391162337085867,0.8045977011494253,0.0743537861497009,1.1111111111111112,0.2265874968691804,0.1359076015793957,0.0486158904663863,1
6706,Ndary Adopo,38,3074,1,2.5289438869804144,2,2.4404895724728703,28,27,4,0,D M S,Cagliari,1,2.5289438869804144,8.808407304808497,5.819650985300541,Serie_A,midfield,0.029277813923227,0.0585556278464541,0.0740419485452951,0.8197787898503579,0.0714521995844366,0.7905009759271308,0.2578909100301772,0.1703866586457542,0.0903194245350148,1
6872,Mehmet Zeki Çelik,34,2747,1,1.7680562287569046,2,2.412685915827751,22,27,2,1,D M S,Roma,1,1.7680562287569046,13.856140442192554,11.655436754226685,Serie_A,midfield,0.0327630141973061,0.0655260283946123,0.057926851324398,0.7207863123407353,0.0790468629139052,0.8846013833272661,0.4539689260274225,0.3818672398545328,0.0803661922162229,1
7530,Samuele Ricci,31,1273,1,2.1061665676534176,4,2.7816384192556143,18,20,3,0,M S,AC Milan,1,2.1061665676534176,8.74880488216877,5.324380742385984,Serie_A,midfield,0.0706991358994501,0.2827965435978005,0.1489041563934073,1.272584446190102,0.1966594326260842,1.4139827179890023,0.6185329453222225,0.3764291176863618,0.1170092537585232,3
8554,Rafael Obrador,16,1135,1,0.1724091228097677,3,1.056434327736497,7,11,1,0,D M S,Torino,1,0.1724091228097677,2.803703337907791,2.079035528004169,Serie_A,midfield,0.079295154185022,0.237885462555066,0.0136712079761049,0.5550660792951542,0.0837701229042156,0.8722466960352422,0.2223200884684592,0.1648574427492292,0.0246298746871096,1
8626,Nikola Moro,30,1784,1,0.9313860163092612,0,2.0523393927142024,21,26,1,0,M S,Bologna,1,0.9313860163092612,6.237979667261243,5.088687775656581,Serie_A,midfield,0.0504484304932735,0.0,0.0469869627061847,1.0594170403587444,0.1035373012019496,1.3116591928251122,0.3146962836622824,0.2567163115521818,0.0443517150623457,1
9876,Alessandro Zanoli,19,1314,1,0.0999864116311073,2,1.5538526717573404,3,15,1,0,D M S,Udinese,1,0.0999864116311073,3.543575694784522,2.3799541387706995,Serie_A,midfield,0.0684931506849315,0.136986301369863,0.006848384358295,0.2054794520547945,0.1064282651888589,1.0273972602739725,0.2427106640263371,0.1630105574500479,0.0333288038770357,1
9893,Youssef Maleh,23,1574,1,1.2885206770151854,0,0.6452810652554035,22,9,4,1,M S,"Cremonese,Lecce",1,1.2885206770151854,2.969324486330152,1.825092279352248,Serie_A,midfield,0.0571791613722998,0.0,0.0736765317225963,1.2579415501905973,0.0368966301607282,0.5146124523506989,0.1697834839705932,0.1043572459604207,0.0585691216825084,1
