Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,Launch%,AvgLen,Stp,Stp%,#OPA,#OPA/90,AvgDist,Cluster
Alexander Nübel,de GER,GK,Stuttgart,de Bundesliga,27.0,1996.0,34,34,3060,34.0,53.0,1.56,136.0,83.0,62.5,14.0,8.0,12.0,7.0,20.6,2.0,1.0,0.0,44.8,0.32,-7.2,30.1,30.7,21.0,5.1,57.0,1.68,17.6,1
Ørjan Nyland,no NOR,GK,Sevilla,es La Liga,33.0,1990.0,30,30,2673,29.7,39.0,1.31,112.0,73.0,67.9,8.0,10.0,12.0,7.0,23.3,3.0,1.0,0.0,37.1,0.31,-0.9,42.1,37.2,20.0,4.9,29.0,0.98,13.8,1
Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,31.0,1993.0,36,36,3240,36.0,30.0,0.83,114.0,86.0,78.1,20.0,10.0,6.0,15.0,41.7,5.0,0.0,0.0,25.6,0.19,-2.4,24.3,30.2,28.0,5.7,28.0,0.78,14.0,2
Maduka Okoye,ng NGA,GK,Udinese,it Serie A,24.0,1999.0,25,25,2250,25.0,40.0,1.6,110.0,73.0,67.3,6.0,4.0,15.0,4.0,16.0,4.0,0.0,1.0,37.0,0.32,0.0,29.9,30.2,14.0,4.4,23.0,0.92,14.1,1
Jonas Omlin,ch SUI,GK,Gladbach,de Bundesliga,30.0,1994.0,12,11,978,10.9,26.0,2.39,72.0,45.0,66.7,2.0,1.0,8.0,1.0,9.1,2.0,1.0,0.0,23.8,0.31,-2.2,34.9,32.7,3.0,1.8,13.0,1.2,15.1,1
André Onana,cm CMR,GK,Manchester Utd,eng Premier League,28.0,1996.0,34,34,3060,34.0,44.0,1.29,132.0,88.0,68.9,10.0,9.0,15.0,9.0,26.5,3.0,1.0,0.0,44.0,0.31,1.0,29.7,30.3,22.0,5.5,23.0,0.68,11.8,1
Stefan Ortega,de GER,GK,Manchester City,eng Premier League,31.0,1992.0,13,12,1100,12.2,18.0,1.47,50.0,33.0,68.0,5.0,4.0,3.0,3.0,25.0,2.0,0.0,0.0,16.3,0.31,-0.7,21.5,26.7,6.0,4.5,12.0,0.98,14.3,2
Alex Palmer,eng ENG,GK,Ipswich Town,eng Premier League,27.0,1996.0,13,13,1170,13.0,30.0,2.31,71.0,43.0,59.2,1.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,25.1,0.35,-2.9,36.8,33.9,20.0,8.0,13.0,1.0,11.5,1
Iñaki Peña,es ESP,GK,Barcelona,es La Liga,25.0,1999.0,16,15,1396,15.5,18.0,1.16,53.0,35.0,69.8,7.0,3.0,5.0,4.0,26.7,2.0,0.0,0.0,16.7,0.29,-1.3,10.8,24.7,3.0,2.1,89.0,5.74,23.5,2
Lucas Perri,br BRA,GK,Lyon,fr Ligue 1,26.0,1997.0,33,33,2970,33.0,44.0,1.33,160.0,116.0,74.4,17.0,6.0,10.0,10.0,30.3,3.0,0.0,0.0,47.8,0.29,3.8,28.1,30.5,26.0,6.3,29.0,0.88,13.5,2
Đorđe Petrović,rs SRB,GK,Strasbourg,fr Ligue 1,24.0,1999.0,31,31,2790,31.0,38.0,1.23,147.0,110.0,78.9,15.0,8.0,8.0,10.0,32.3,7.0,1.0,0.0,45.9,0.27,9.9,20.9,27.4,41.0,8.4,47.0,1.52,15.2,2
Jordan Pickford,eng ENG,GK,Everton,eng Premier League,30.0,1994.0,38,38,3420,38.0,44.0,1.16,163.0,117.0,73.0,11.0,15.0,12.0,12.0,31.6,0.0,2.0,0.0,48.8,0.3,4.8,48.8,39.7,31.0,5.6,57.0,1.5,15.2,0
