id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,Comp,Group,Gls_p90,Ast_p90,npxG_p90,Sh_p90,xA_p90,KP_p90,xGChain_p90,xGBuildup_p90,npxG_per_Sh
8260,Erling Haaland,35,2979,27,28.795336209237576,8,5.507687093690038,125,25,2,0,F S,Manchester City,24,25.7506607696414,32.735352732241154,5.163548586890101,EPL,attack,0.8157099697885197,0.2416918429003021,0.7779655821643927,3.7764350453172204,0.16639538047401928,0.7552870090634441,0.9889834662308505,0.15599844673383992,0.2060052861571312
13222,Thiago,38,3292,22,24.68977300822735,1,3.4500465877354145,84,24,7,0,F S,Brentford,14,17.83925338834524,22.6934577524662,4.9276386722922325,EPL,attack,0.6014580801944107,0.027339003645200484,0.48770741341162566,2.296476306196841,0.09432083623821,0.6561360874848117,0.6204165242168767,0.13471673162402822,0.21237206414696716
11363,Antoine Semenyo,37,3220,17,12.836786897853017,4,4.130169393494725,83,38,7,0,F M,"Bournemouth,Manchester City",16,11.31444920040667,20.870588455349207,7.893717190250754,EPL,attack,0.4751552795031056,0.11180124223602485,0.316242368955466,2.3198757763975153,0.11543951720947988,1.0621118012422361,0.58333942887622,0.2206318469324745,0.13631866506514062
8865,Ollie Watkins,37,2908,16,18.82772558834404,3,2.816021606326103,83,23,4,0,F S,Aston Villa,16,18.82772558834404,21.74590409174561,4.3408186649903655,EPL,attack,0.49518569463548834,0.09284731774415404,0.5827012733669064,2.5687757909215954,0.08715335095232093,0.7118294360385145,0.6730162889467348,0.1343444566193717,0.22684006732944628
6857,Morgan Gibbs-White,37,3142,15,11.671697720885277,4,4.5044658575207,83,48,1,0,F M S,Nottingham Forest,14,10.910528883337976,17.26536614820361,5.41371457837522,EPL,attack,0.42966263526416293,0.11457670273711011,0.31252310614271733,2.377466581795035,0.12902671138665278,1.3749204328453215,0.49455218120252226,0.15507139148751428,0.13145215522093948
8272,João Pedro,35,2698,15,15.723741941154003,5,3.983569510281086,73,29,5,0,F M S,Chelsea,15,15.723741941154003,19.279914382845163,4.795918667688966,EPL,attack,0.5003706449221645,0.16679021497405486,0.5245132597123278,2.435137138621201,0.13288408299677454,0.9673832468495182,0.6431402129192234,0.15998246111638506,0.21539372522128772
5555,Dominic Calvert-Lewin,35,2732,14,18.671318570151925,1,1.5441157519817352,73,20,3,0,F S,Leeds,10,14.865511130541565,18.026230743154883,2.768353534862399,EPL,attack,0.4612005856515373,0.03294289897510981,0.48971303138680117,2.404831625183016,0.050867649223410014,0.6588579795021963,0.5938362982737699,0.09119759082636014,0.20363713877454198
7254,Viktor Gyokeres,36,2255,14,13.871430788189173,1,2.6537387324497104,55,20,5,0,F S,Arsenal,11,11.58792421594262,14.77520313858986,3.259540883824229,EPL,attack,0.5587583148558758,0.03991130820399113,0.46248921482697813,2.1951219512195124,0.10591418444366915,0.7982261640798226,0.589697686240837,0.13009254081781846,0.21068953119895673
501,Danny Welbeck,37,2286,13,12.718900069594383,1,2.2625304386019707,56,20,5,0,F S,Brighton,12,10.435393424704673,14.98485920764506,4.79668786842376,EPL,attack,0.5118110236220472,0.03937007874015748,0.4108422608151446,2.204724409448819,0.08907600151976262,0.7874015748031497,0.5899550869151599,0.18884597907180156,0.1863463111554406
11504,Eli Junior Kroupi,33,1708,13,8.849121669307351,0,1.81576990429312,52,22,5,0,F M S,Bournemouth,11,7.326783983036876,11.65668847411871,5.08306846767664,EPL,attack,0.6850117096018735,0.0,0.38607175554643963,2.740046838407494,0.09567874202949696,1.1592505854800936,0.6142283153809625,0.2678431862358885,0.1408996919814784
5735,Jean-Philippe Mateta,32,2225,12,15.977427493780851,0,1.2496193014085293,63,9,2,0,F S,Crystal Palace,8,12.93275199458003,15.170770466327667,2.393757389858365,EPL,attack,0.4853932584269663,0.0,0.523122552589754,2.548314606741573,0.05054639870865961,0.36404494382022473,0.6136491424581978,0.09682614161224846,0.20528177769174652
6026,Richarlison,32,1926,11,9.866276641376317,4,3.4081881837919354,61,19,5,0,F M S,Tottenham,11,9.866276641376317,11.187864126637578,2.256451802328229,EPL,attack,0.5140186915887851,0.18691588785046728,0.4610409645502952,2.850467289719626,0.1592611300837353,0.8878504672897196,0.5227973890952139,0.10544167300599201,0.16174224002256257
6552,Bryan Mbeumo,33,2676,11,13.309208107180892,3,5.091009698808193,73,45,4,0,F M S,Manchester United,11,13.309208107180892,22.316140696406364,6.068183907307684,EPL,attack,0.36995515695067266,0.10089686098654709,0.447619106743752,2.4551569506726456,0.17122229928727106,1.5134529147982063,0.7505428485338463,0.20408690271214183,0.18231791927645058
