Player,Squad,Comp,PrimaryPos,SecondaryPos,Group,Style,Gls,Ast,Min,MP,Gls_p90,npxG_p90,Sh_p90,SoT%,G/Sh,xAG_p90,SCA90,PrgC_p90,Succ%,Att Pen_p90,CrsPA_p90,PrgR_p90,PrgP_p90,Cmp%,KP_p90,Tkl_p90,Int_p90,Tkl+Int_p90,TotDist_p90,1/3_p90,Clr_p90,Blocks_p90,Att 3rd_p90,Tkl%,Won%,GA,Saves,CS,Save%,PSxG+/-,Stp%,#OPA/90,AvgDist,Launch%,AvgLen,CS%
Thierno Barry,Villarreal,es La Liga,FW,,attack,Target Forward,11.0,4.0,2323,35,0.4261730520878174,0.4532931554024967,2.7507533362031853,33.8,0.14,0.1123547137322427,1.78,1.70469220835127,36.0,4.881618596642273,0.0387430047352561,4.804132587171761,,,,,,,,,,,,,,,,,,,,,,,,
Sheraldo Becker,Real Sociedad,es La Liga,FW,MF,attack,All-Around Forward,2.0,1.0,995,22,0.1809045226130653,0.1809045226130653,1.9899497487437188,59.1,0.09,0.1809045226130653,1.9,4.613065326633166,36.4,3.256281407035176,0.4522613065326633,9.949748743718594,,,,,,,,,,,,,,,,,,,,,,,,
Maximilian Beier,Dortmund,de Bundesliga,FW,MF,attack,Target Forward,8.0,5.0,1591,29,0.4525455688246386,0.4355751099937146,2.3758642363293525,31.0,0.19,0.1866750471401634,3.11,1.357636706473916,43.1,4.978001257071025,0.1697045883092394,7.0144563167818985,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Beltrán,Fiorentina,it Serie A,FW,MF,attack,Squad Forward,5.0,4.0,1864,32,0.2414163090128755,0.1496781115879828,1.255364806866953,23.1,0.12,0.1448497854077253,2.9,1.1105150214592274,50.0,2.4624463519313307,0.1448497854077253,4.53862660944206,,,,,,,,,,,,,,,,,,,,,,,,
Álex Berenguer,Athletic Club,es La Liga,FW,MF,attack,All-Around Forward,6.0,7.0,2339,36,0.2308678922616502,0.2308678922616502,1.962377084224028,35.3,0.12,0.1923899102180419,3.77,2.5010688328345445,40.2,3.309106455750321,0.4232578024796922,8.31124412141941,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Bernhardsson,Holstein Kiel,de Bundesliga,FW,MF,attack,Target Forward,7.0,2.0,1263,19,0.498812351543943,0.2921615201900237,1.9239904988123515,51.9,0.26,0.0926365795724465,2.57,1.7814726840855106,41.5,2.921615201900237,0.2850356294536817,5.130641330166271,,,,,,,,,,,,,,,,,,,,,,,,
Beto,Everton,eng Premier League,FW,,attack,Target Forward,8.0,0.0,1534,30,0.469361147327249,0.4810951760104301,2.8748370273794004,46.9,0.16,0.0704041720990873,1.52,0.8800521512385919,50.0,5.045632333767927,0.0586701434159061,4.517601043024771,,,,,,,,,,,,,,,,,,,,,,,,
Mika Biereth,Monaco,fr Ligue 1,FW,,attack,Poacher,13.0,2.0,1228,16,0.9527687296416938,0.7109120521172637,2.931596091205212,55.0,0.3,0.3298045602605863,2.78,1.026058631921824,9.1,7.182410423452768,0.0732899022801303,8.061889250814332,,,,,,,,,,,,,,,,,,,,,,,,
Myron Boadu,Bochum,de Bundesliga,FW,,attack,Poacher,9.0,1.0,1042,19,0.7773512476007678,0.5959692898272553,2.332053742802304,48.1,0.3,0.0950095969289827,2.59,1.0364683301343571,47.8,3.973128598848368,0.0863723608445297,6.046065259117083,,,,,,,,,,,,,,,,,,,,,,,,
Victor Boniface,Leverkusen,de Bundesliga,FW,,attack,Poacher,8.0,1.0,1008,19,0.7142857142857142,0.6339285714285714,4.464285714285714,34.0,0.16,0.0982142857142857,2.86,2.321428571428571,42.9,6.875000000000001,0.1785714285714285,5.446428571428571,,,,,,,,,,,,,,,,,,,,,,,,
