id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,Comp
12942,Maarten Vandevoordt,12,1052,0,0,0,0,0,0,0,0,GK S,RasenBallsport Leipzig,0,0,3.504514906555414,3.504514906555414,Bundesliga
12955,Aurèle Amenda,24,1664,0,1.009096633642912,0,0.33609938621520996,10,6,5,0,D S,Eintracht Frankfurt,0,1.009096633642912,5.7146389447152615,5.516352321952581,Bundesliga
12964,Kamil Grabara,34,3060,0,0.03640927001833916,0,0.04049020633101463,1,3,1,0,GK,Wolfsburg,0,0.03640927001833916,4.599022266454995,4.5585320591926575,Bundesliga
12965,Bence Dárdai,1,31,0,0,0,0.012427224777638912,0,1,0,0,S,Wolfsburg,0,0,0.012427224777638912,0,Bundesliga
12973,Nikola Vasilj,34,3060,0,0,0,0,0,0,0,0,GK,St. Pauli,0,0,2.8116685058921576,2.8116685058921576,Bundesliga
12977,Lars Ritzka,21,974,0,0.22573823854327202,0,0.8755739834159613,4,6,1,0,D M S,St. Pauli,0,0.22573823854327202,1.4658792736008763,0.7808276889845729,Bundesliga
12978,Jackson Irvine,24,1617,0,1.6277177091687918,1,0.908556679263711,19,11,0,1,M S,St. Pauli,0,1.6277177091687918,4.692420791834593,2.7359869442880154,Bundesliga
12979,Connor Metcalfe,25,536,0,0.7382826870307326,2,1.1607451755553484,16,9,2,0,F M S,St. Pauli,0,0.7382826870307326,1.9794561108574271,0.7128131743520498,Bundesliga
12980,Elias Saad,10,518,0,0.37165308371186256,0,0.6210179030895233,6,12,1,0,F M S,Augsburg,0,0.37165308371186256,1.412656469270587,0.5558570027351379,Bundesliga
12982,Oladapo Afolayan,7,135,0,0.526158856227994,0,0.08374877460300922,4,2,1,0,M S,St. Pauli,0,0.526158856227994,0.7736875526607037,0.16377991437911987,Bundesliga
13017,Filippo Mané,4,142,0,0,0,0,0,0,0,1,D S,Borussia Dortmund,0,0,0.6807209551334381,0.6807209551334381,Bundesliga
13056,Almugera Kabar,1,14,0,0.04891660809516907,0,0,1,0,0,0,S,Borussia Dortmund,0,0.04891660809516907,0.04891660809516907,0,Bundesliga
13131,Cole Campbell,6,64,0,0.18991899117827415,0,0.2815333306789398,2,3,0,0,S,"Borussia Dortmund,Hoffenheim",0,0.18991899117827415,1.1457072533667088,0.7706655748188496,Bundesliga
13185,Jahmai Simpson-Pusey,11,863,0,0.305854395031929,0,0.09932500869035721,6,2,2,1,D S,FC Cologne,0,0.305854395031929,1.9975699912756681,1.8982449751347303,Bundesliga
13215,Axel Tape,6,214,0,0.1425793543457985,0,0,3,0,1,0,D S,Bayer Leverkusen,0,0.1425793543457985,0.692778505384922,0.5725748687982559,Bundesliga
13262,Jonah Kusi-Asare,1,1,0,0,0,0,0,0,0,0,S,Bayern Munich,0,0,0,0,Bundesliga
13292,Carl Klaus,4,330,0,0,0,0,0,0,0,0,GK S,Union Berlin,0,0,0.5431037116795778,0.5431037116795778,Bundesliga
13416,Luka Djuric,1,5,0,0,0,0,0,0,0,0,S,Hoffenheim,0,0,0.058380626142024994,0.058380626142024994,Bundesliga
13421,Wisdom Mike,4,18,0,0.10484713315963745,0,0,2,0,0,0,S,Bayern Munich,0,0.10484713315963745,0.35970722883939743,0.25486009567976,Bundesliga
13422,Mick Schmetgens,2,34,0,0,0,0,0,0,0,0,S,Werder Bremen,0,0,0.23905259370803833,0.23905259370803833,Bundesliga
13425,Luca Jaquez,14,893,0,0.15299018938094378,1,0.4413405451923609,4,5,1,0,D S,VfB Stuttgart,0,0.15299018938094378,3.8481910564005375,3.353291839361191,Bundesliga
13426,Finn Jeltsch,23,1501,0,0.19509844854474068,1,0.10187679901719093,3,5,3,0,D S,VfB Stuttgart,0,0.19509844854474068,5.332050487399101,5.174723267555237,Bundesliga
13505,Alejo Sarco,6,107,0,0.4211624972522259,0,0.25054374895989895,4,2,0,0,S,"Bayer Leverkusen,Borussia M.Gladbach",0,0.4211624972522259,0.9105963241308928,0.2895685136318207,Bundesliga
13621,Charles Herrmann,1,1,0,0,1,0.37863999605178833,0,1,0,0,S,Borussia M.Gladbach,0,0,0,0,Bundesliga
13634,Jan Bürger,7,247,0,0.06012657471001148,0,0.1284901462495327,2,2,0,0,D S,Wolfsburg,0,0.06012657471001148,1.0541414730250835,0.9940148964524269,Bundesliga
13649,Claudio Echeverri,6,112,0,0.11350106447935104,0,0.04052872955799103,1,1,0,0,M S,Bayer Leverkusen,0,0.11350106447935104,0.2705470249056816,0.15704596042633057,Bundesliga
13714,Jenson Seelt,9,681,0,0.10756358131766319,0,0,2,0,0,0,D S,Wolfsburg,0,0.10756358131766319,1.855355310253799,1.855355310253799,Bundesliga
13851,Ezechiel Banzuzi,24,521,0,1.248297218233347,1,0.353797547519207,15,7,3,0,M S,RasenBallsport Leipzig,0,1.248297218233347,3.044343562796712,1.8351374585181475,Bundesliga
13859,Koki Machida,1,45,0,0,0,0,0,0,1,0,D,Hoffenheim,0,0,0.045069705694913864,0.045069705694913864,Bundesliga
13861,Leon Avdullahu,33,2860,0,0.5229936568066478,1,1.3252581506967545,14,22,5,0,M S,Hoffenheim,0,0.5229936568066478,13.051670419052243,11.703141951933503,Bundesliga
13863,Yannik Wagner,4,31,0,0.024279415607452393,0,0.2785300724208355,1,3,0,0,S,FC Heidenheim,0,0.024279415607452393,0.265305258333683,0.07995288819074631,Bundesliga
13864,Cyriaque Irié,10,331,0,0.6037380173802376,0,0.12981241568922997,7,4,3,0,M S,Freiburg,0,0.6037380173802376,1.3675258830189705,0.7877949215471745,Bundesliga
13867,Matheo Raab,1,90,0,0,0,0,0,0,0,0,GK,Union Berlin,0,0,0,0,Bundesliga
13868,Lazar Jovanovic,3,23,0,0.0999414473772049,0,0.09531611576676369,1,2,0,0,S,VfB Stuttgart,0,0.0999414473772049,0.19525755941867828,0,Bundesliga
13882,Arkadiusz Pyrka,31,2596,0,1.008908435702324,1,2.2230269787833095,19,24,3,0,D M S,St. Pauli,0,1.008908435702324,8.325334949418902,6.6152997855097055,Bundesliga
13887,Jobe Bellingham,32,1779,0,0.9893369525671005,1,0.7723528351634741,19,9,2,1,M S,Borussia Dortmund,0,0.9893369525671005,9.601684469729662,8.472049668431282,Bundesliga
13907,Joël Schmied,16,1090,0,0.22122081648558378,0,0.14580537378787994,4,2,5,0,D S,FC Cologne,0,0.22122081648558378,2.9376384019851685,2.8404782209545374,Bundesliga
13908,Sebastian Sebulonsen,31,2519,0,1.4893776644021273,0,2.7618500273674726,31,21,5,0,D S,FC Cologne,0,1.4893776644021273,11.220519538968801,8.312318425625563,Bundesliga
13909,Kristoffer Lund,33,2319,0,0.631946531124413,2,1.743918489664793,20,20,2,0,D M S,FC Cologne,0,0.631946531124413,8.249548189342022,6.765429270453751,Bundesliga
13912,Jusuf Gazibegovic,1,17,0,0,0,0,0,0,0,0,S,FC Cologne,0,0,0.04475236311554909,0.04475236311554909,Bundesliga
13913,Rav van den Berg,14,1138,0,0.10706858336925507,1,0.49569860100746155,1,1,0,1,D S,FC Cologne,0,0.10706858336925507,2.7127026673406363,2.7127026673406363,Bundesliga
